mutant_index,clim_fitness,nlim_fitness,switch_fitness,combined_fitness,delta_s,non_additivity
1,-0.0618171020438331,-0.022210316875508267,-0.006361049994457133,-0.04201370945967069,-0.03960678516832483,0.03565265946521355
2,-0.02654462884802835,-0.023150981111237035,-0.009277854777446566,-0.024847804979632692,-0.003393647736791315,0.015569950202186126
5,-0.0235440677414798,-0.039489149146996,-0.038259183972359896,-0.0315166084442379,0.0159450814055162,-0.006742575528121998
7,-0.03422194248395003,-0.009111567493474033,0.0027271591516405663,-0.021666754988712032,-0.025110374990475998,0.0243939141403526
8,-0.011952646508448501,-0.012685960963383966,0.003896946267240267,-0.012319303735916234,0.0007333144549354648,0.0162162500031565
9,-0.02321579209971185,-0.015641397107636235,-0.0033922701939736663,-0.01942859460367404,-0.007574394992075614,0.016036324409700375
11,-0.044592357566669696,-0.015228569576633497,-0.007928475325057034,-0.029910463571651596,-0.0293637879900362,0.02198198824659456
12,-0.038636040819156905,-0.015081420508695167,-0.0045993215169425,-0.026858730663926036,-0.023554620310461738,0.022259409146983537
14,-0.02281927852660037,-0.007924915204725966,0.0028598936417805333,-0.015372096865663168,-0.014894363321874403,0.0182319905074437
15,-0.0342528196493544,-0.0184486713464686,-0.024301673309674966,-0.0263507454979115,-0.0158041483028858,0.002049072188236533
16,-0.0181663098312694,-0.009849018511929833,-0.0002133164569892001,-0.014007664171599616,-0.008317291319339566,0.013794347714610416
17,-0.01517764593349305,0.002397265518985866,-0.0024381820744875664,-0.006390190207253592,-0.017574911452478918,0.0039520081327660255
18,-0.0059422703626459,-0.018830008908582,-0.004417906182809599,-0.01238613963561395,0.012887738545936101,0.007968233452804351
19,-0.01661445007182207,-0.020752275264398934,-0.0031413076724629003,-0.0186833626681105,0.004137825192576865,0.015542054995647599
20,-0.01367313190935285,-0.007806897593598333,5.4788168947900074e-05,-0.010740014751475591,-0.005866234315754517,0.010794802920423492
21,-0.0292569793018519,-0.013211849089878566,-0.0005819942647656667,-0.021234414195865234,-0.016045130211973332,0.020652419931099567
22,-0.02121559733555215,-0.018922032345724402,-0.009953621039247301,-0.02006881484063828,-0.002293564989827749,0.010115193801390978
23,-0.04452941207777765,-0.010454190445431033,-0.0049700635113532335,-0.027491801261604342,-0.034075221632346615,0.022521737750251108
24,-0.054832048665026,-0.0158684498249656,-0.0110932855391723,-0.0353502492449958,-0.0389635988400604,0.024256963705823503
25,-0.0399896025720585,-0.015277610480540235,-0.005118919829302933,-0.027633606526299367,-0.02471199209151826,0.022514686696996432
26,-0.022268169666875,-0.019818632995939667,-0.0115423522227038,-0.021043401331407335,-0.0024495366709353338,0.009501049108703535
27,-0.03997255386379625,-0.017216842323020468,-0.008403408751179266,-0.02859469809340836,-0.022755711540775783,0.020191289342229093
28,-0.051671690372052104,-0.0088337832805788,-0.0048124867616177,-0.030252736826315452,-0.0428379070914733,0.02544025006469775
29,-0.025367593863073398,-0.0031819243666224,0.0032162922455095003,-0.0142747591148479,-0.022185669496450997,0.0174910513603574
30,-0.0446114756539532,-0.028746773510350904,-0.011027883529078466,-0.036679124582152056,-0.015864702143602298,0.025651241053073592
31,-0.0158321783904068,0.0017370674425566,-0.0034485991616652334,-0.007047555473925099,-0.0175692458329634,0.003598956312259866
32,-0.00188791272424605,-0.019943783730175902,-0.007118301451749666,-0.010915848227210976,0.01805587100592985,0.0037975467754613104
33,-0.03470365984812097,-0.0084677140974886,0.0022527675792340667,-0.021585686972804784,-0.026235945750632365,0.02383845455203885
34,-0.0021200308753853334,-0.013638428913085634,-0.002644089221917467,-0.007879229894235484,0.0115183980377003,0.0052351406723180165
35,-0.00429847946767085,-0.029050953285303733,-0.006590271168475568,-0.016674716376487292,0.024752473817632882,0.010084445208011723
36,-0.0350110910453172,-0.004259373356857566,-0.0018087217922118334,-0.019635232201087385,-0.030751717688459634,0.017826510408875552
37,-0.018183517271437966,-0.012152482132345634,0.00024768986561496674,-0.0151679997018918,-0.006031035139092332,0.015415689567506767
38,-0.019359006676217833,-0.012314485529595534,-0.0004442617370580332,-0.015836746102906682,-0.007044521146622299,0.015392484365848648
39,-0.01486650037058735,-0.02084985812810543,-0.008133760786659332,-0.017858179249346393,0.005983357757518081,0.00972441846268706
40,-0.04042159098456324,-0.005618868340686434,-0.0009813270584177,-0.023020229662624837,-0.0348027226438768,0.022038902604207135
41,-0.036062370677809805,-0.014983967055711098,-0.002324903673538033,-0.02552316886676045,-0.02107840362209871,0.023198265193222416
44,-0.0099521866727399,-0.0044797230235050335,-0.0034659385936611996,-0.0072159548481224665,-0.005472463649234867,0.003750016254461267
45,0.0003573328909160332,-0.014294299534751498,-0.0035303060716176337,-0.006968483321917732,0.014651632425667532,0.0034381772503000985
47,-0.009176473731929067,-0.014474722291448366,0.0009899231305297333,-0.011825598011688716,0.005298248559519299,0.012815521142218449
48,-0.02060179530275965,-0.003780094958263234,-0.0012617091451415333,-0.012190945130511442,-0.016821700344496416,0.010929235985369908
49,-0.00856419206200565,-0.0185491014407913,-0.0060964631906453995,-0.013556646751398477,0.00998490937878565,0.007460183560753077
50,-0.03294718165541383,-0.0038460421364425665,0.0005328326257870333,-0.0183966118959282,-0.029101139518971267,0.018929444521715234
51,-0.029129760383434067,-0.019520552184786964,-0.0013816335124928333,-0.024325156284110513,-0.009609208198647103,0.02294352277161768
52,-0.036169314783103146,-0.008343500164888867,-0.0013375465721841336,-0.022256407473996008,-0.02782581461821428,0.020918860901811873
53,-0.0187082696443335,-0.016283221270702333,-0.0009076621479264668,-0.017495745457517916,-0.0024250483736311668,0.01658808330959145
54,-0.0135409102980312,0.001471712749753833,-0.0006826569593655334,-0.006034598774138683,-0.015012623047785034,0.00535194181477315
55,-0.0288681238702528,-0.015169311757890333,-0.0012705564605989333,-0.022018717814071567,-0.013698812112362466,0.020748161353472634
56,-0.021225916559323932,-0.0159217635262423,-9.738810378476677e-05,-0.01857384004278312,-0.00530415303308163,0.018476451938998353
59,-0.03317394529167235,-0.011433335053583666,-0.0031062663476752665,-0.02230364017262801,-0.02174061023808868,0.019197373824952742
60,-0.02850512329768965,-0.004574903384583833,0.0007304569717416666,-0.016540013341136743,-0.02393021991310582,0.01727047031287841
61,-0.0170449128012717,-0.012583944458930267,-0.010850968262098934,-0.014814428630100983,-0.004460968342341434,0.003963460368002049
62,-0.00115117945992,-0.0189318824556424,-0.008988493551594466,-0.0100415309577812,0.0177807029957224,0.0010530374061867333
65,-0.0258301698616413,-0.03270458349785516,-0.0101952456582418,-0.02926737667974823,0.006874413636213862,0.01907213102150643
67,-0.02553023320231203,-0.019281221186086,-0.0010090395370707,-0.022405727194199015,-0.006249012016226033,0.021396687657128315
