strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_0,1.0496714153011233,1250000,0.00025,10868,3.872236081420476e-05,0,3.665821720179811e-08,0,1.190554185264886e-11,0,5.182043563521605e-15,0,5.072571164531946e-19,0,2.1542727976325362e-15,0,9.616386791296611e-15,0,5.695658474917652e-18,0,3.128869503433899e-21,0,1.6654013207969495e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_1,0.9861735698828815,1250000,0.00025,2367,8.433621202904067e-06,0,1.7431299321957256e-09,0,1.2734062817738627e-13,0,2.409512640251644e-17,0,-8.619814504460428e-19,0,1.1442219102525472e-15,0,5.142914748973627e-14,0,2.3250396831954305e-17,0,9.210475272076933e-21,0,4.330237571148894e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_2,1.0647688538100692,1250000,0.00025,15615,5.5634922867196165e-05,1,7.564846140407982e-08,0,3.5147749491622986e-11,0,1.9994671448866355e-14,0,2.262114517807767e-17,0,3.0162269890598212e-15,0,6.509437471024163e-15,0,4.653290809258825e-18,0,3.115597943315536e-21,0,1.9712853093162357e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_3,1.1523029856408025,1250000,0.00025,127639,0.0004547595113707721,79,5.0501835103041814e-06,0,1.8949826189990825e-08,0,6.782293281760194e-11,0,3.2461719647762133e-13,0,1.3945614956188563e-13,0,-7.46801449275509e-14,0,-2.6918405611577485e-16,0,-9.4283787746207e-19,0,-3.0071148294468293e-21,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_4,0.9765846625276664,1250000,0.00025,1880,6.699825006325266e-06,0,1.1006963042768437e-09,0,6.437002436806599e-14,0,1.1317546723966633e-17,0,-6.539731458444658e-19,0,1.1444510811782907e-15,0,6.9693704762039e-14,0,3.3085466535711493e-17,0,1.3612450669252162e-20,0,6.965279459650768e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_5,0.976586304305082,1250000,0.00025,1880,6.700089005649647e-06,0,1.1007829404865487e-09,0,6.437753785626971e-14,0,1.1318994536286711e-17,0,-6.540035221488219e-19,0,1.1444488353560527e-15,0,6.968999064621613e-14,0,3.308335212371287e-17,0,1.3611462614963248e-20,0,6.964654781539911e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_6,1.1579212815507391,1250000,0.00025,146064,0.0005204054762366402,104,6.613337147949074e-06,0,2.8388328490657018e-08,0,1.1549619294981576e-10,0,6.066225204950309e-13,0,2.0369852970719665e-13,0,-1.0571793207682007e-13,0,-4.3073428220919305e-16,0,-1.7079041759382693e-18,0,-6.175297081890989e-21,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_7,1.076743472915291,1250000,0.00025,20815,7.416106870661055e-05,2,1.3438970612791047e-07,0,8.300088011391228e-11,0,5.919819750167202e-14,0,9.694333606969472e-17,0,4.1783017495087035e-15,0,4.3086670944873276e-15,0,3.666831019479476e-18,0,2.943079636745962e-21,0,2.1994794997018718e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_8,0.9530525614065047,1250000,0.00025,1069,3.8090341314092284e-06,0,3.563388349790431e-10,0,1.2125629552437085e-14,0,1.910402640278103e-18,0,-3.50226733175077e-19,0,1.2560098960301317e-15,0,1.5605034194485315e-13,0,9.351820896196364e-17,0,4.7147529639615377e-20,0,3.387730226245879e-23,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
strain_9,1.0542560043585965,1250000,0.00025,12132,4.322698970564968e-05,0,4.5678395698658355e-08,0,1.6537541547664284e-11,0,7.79037971682076e-15,0,3.738323498658204e-18,0,2.3660568506863435e-15,0,8.596021259216866e-15,0,5.368710891708014e-18,0,3.119636804970044e-21,0,1.7417234474883398e-24,1.0019320822460183,1.2603271331501948,1.37826015093479,1.3885015786581938,1.3899756398426197,1.3904349638843105,1.3907223163742128,1.391016707604911,1.3912613905340614,1.3918281660075973,1.3823930352167189
