strain_id,initial_fitness,reads_t0,frequency_t0,reads_t1,frequency_t1,reads_t2,frequency_t2,reads_t3,frequency_t3,reads_t4,frequency_t4,reads_t5,frequency_t5,reads_t6,frequency_t6,reads_t7,frequency_t7,reads_t8,frequency_t8,reads_t9,frequency_t9,reads_t10,frequency_t10,avg_fitness_t0,avg_fitness_t1,avg_fitness_t2,avg_fitness_t3,avg_fitness_t4,avg_fitness_t5,avg_fitness_t6,avg_fitness_t7,avg_fitness_t8,avg_fitness_t9,avg_fitness_t10
strain_0,1.0496714153011233,1250000,0.00025,10871,3.8724241740931056e-05,10,3.656974475661513e-08,0,1.1631750719093568e-11,0,3.332715042634274e-15,0,9.273594666861086e-19,0,2.55293734965885e-22,0,6.957149854916472e-26,0,1.9206630574954616e-29,0,5.48781488051731e-33,0,1.6640242211073135e-36,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_1,0.9861735698828815,1250000,0.00025,2368,8.436338839447235e-06,0,1.7357973427370026e-09,0,1.2052197656815943e-13,0,7.619872357747706e-18,0,4.695573966460292e-22,0,2.850688097077014e-26,0,1.6742476617900152e-30,0,9.93931274482691e-35,0,6.162361768600703e-39,0,4.21445716789889e-43,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_2,1.0647688538100692,1250000,0.00025,15618,5.563448017571044e-05,21,7.548597806767262e-08,0,3.449107534361799e-11,0,1.4186578986817137e-14,0,5.666530126407159e-18,0,2.240468708513392e-21,0,8.793310154092598e-25,0,3.49635281435826e-28,0,1.4361512991298142e-31,0,6.225546240663672e-35,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_3,1.1523029856408025,1250000,0.00025,127654,0.0004547061759137206,1416,5.044581211687716e-06,5,1.8845754568720096e-08,0,6.341263573874962e-11,0,2.0764652898643676e-13,0,6.741443047376613e-16,0,2.18620113264006e-18,0,7.166166963998025e-21,0,2.402282130084972e-23,0,8.323269277388351e-26,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_4,0.9765846625276664,1250000,0.00025,1881,6.702173960987059e-06,0,1.0956078467729507e-09,0,6.047419468652089e-14,0,3.0500068254988933e-18,0,1.5011616541720411e-22,0,7.271628615783288e-27,0,3.3877543997859256e-31,0,1.5942832643254776e-35,0,7.84855434637038e-40,0,4.3009933341775234e-44,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_5,0.976586304305082,1250000,0.00025,1881,6.702438025483557e-06,0,1.0956941658503615e-09,0,6.04813346043503e-14,0,3.050484747248481e-18,0,1.5014545225713854e-22,0,7.27332785861141e-27,0,3.3886804049027795e-31,0,1.5947824707739564e-35,0,7.851321877146016e-40,0,4.302672673380492e-44,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_6,1.1579212815507391,1250000,0.00025,146082,0.000520347017224616,1854,6.6063391064490045e-06,7,2.8244231922022917e-08,0,1.087743713379524e-10,0,4.0775440650756147e-13,0,1.5155497928904625e-15,0,5.62706181543825e-18,0,2.1112442148538806e-20,0,8.095782490536016e-23,0,3.205379137730682e-25,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_7,1.076743472915291,1250000,0.00025,20819,7.415769067498888e-05,37,1.3412583658350668e-07,0,8.168735136200352e-11,0,4.477213512887602e-14,0,2.3832223972721383e-17,0,1.2562029672665233e-20,0,6.583923272176468e-24,0,3.495656880512553e-27,0,1.914579788194572e-30,0,1.1024310021073675e-33,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_8,0.9530525614065047,1250000,0.00025,1069,3.810451007624041e-06,0,3.542403914512982e-10,0,1.1141436133242099e-14,0,3.239741808313041e-19,0,9.231535603509824e-24,0,2.5808144125084273e-28,0,6.814354202020828e-33,0,1.8136106952496588e-37,0,5.0723874694668006e-42,0,1.6237264203451508e-46,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
strain_9,1.0542560043585965,1250000,0.00025,12135,4.322830521465041e-05,12,4.557203870192379e-08,0,1.6180403982429087e-11,0,5.173671384722674e-15,0,1.6065228703905938e-18,0,4.936232505367744e-22,0,1.5027957320175086e-25,0,4.634965369533754e-29,0,1.4786774412205731e-32,0,4.9972833791579535e-36,1.0019320822460183,1.260327954791872,1.3782621774857235,1.3885022279271055,1.3899760165306012,1.390435540381858,1.3907244436918509,1.3909668193685178,1.391182384448969,1.3913746243437652,1.391544799220192
